rank,gender,division,flight,pair_name,school,rating,TGRS,reachability,local_reachability,sos,local_sos,quality_wins,ts_rating,ts_mu,local_ts_mu,ts_sigma,matches_played,wins,losses,last_match_date
1,Boys,2,3,Zeke Sandholm / Brody Slot,Byron Center,1556.1481,1556.1481,1693,33,14.8568,4.613,36.9162,28.8027,41.8823,37.0154,4.3599,13,11,2,2025-10-17
2,Boys,2,3,Marcus Bernard / Drew Decker,Grand Rapids Forest Hills Northern,1535.2921,1535.2921,1649,44,21.1318,17.33,42.5987,34.6136,47.2594,49.253,4.2153,14,12,2,2025-10-17
3,Boys,2,3,Sullivan Ladd / Jashwanth Thamminana,Midland Dow,1528.5258,1528.5258,1649,43,14.665,11.6982,40.8417,30.6524,45.123,47.1253,4.8235,30,28,2,2025-10-17
4,Boys,2,3,Aidan Banchoff / Ben Vander Stelt,Byron Center,1527.0654,1527.0654,1649,39,17.7865,12.4894,38.8834,31.8217,44.838,47.514,4.3388,26,22,4,2025-10-17
5,Boys,2,3,Ryan Brand / Myles Rontal,Birmingham Groves,1523.1396,1523.1396,1649,32,21.9429,16.5263,40.2302,23.6525,36.262,37.9925,4.2032,22,13,9,2025-10-17
6,Boys,2,3,Kalil Wahab / Roger Harris,Birmingham Seaholm,1522.9051,1522.9051,1649,33,21.1721,10.654,39.4879,27.2761,40.8264,43.4674,4.5168,26,19,7,2025-10-17
7,Boys,2,3,Josh Poulson / Pip Bauer,Portage Central,1514.2535,1514.2535,1649,25,17.7074,13.6509,35.407,21.3469,34.2352,38.8119,4.2961,25,13,12,2025-10-08
8,Boys,2,3,Joseph Guthat / Matthew Hamilton,Grosse Pointe South,1511.0672,1511.0672,1649,25,15.9644,9.1391,31.3969,23.0672,35.9424,41.6681,4.2917,27,17,10,2025-10-17
9,Boys,2,3,Bennett Smith / Reave Smith,Midland,1508.1961,1508.1961,1649,19,13.329,9.5767,33.2088,22.724,36.9922,37.4319,4.7561,22,17,5,2025-10-17
10,Boys,2,3,Lucas Smith / Gavin Wandrie,Lapeer,1504.8589,1504.8589,1649,21,10.8061,6.4002,32.5817,18.2798,31.7137,40.8282,4.478,19,14,5,2025-10-08
11,Boys,2,3,Henry Hebbes / Alex Fieck-Losh,Dexter,1503.6507,1503.6507,1649,16,13.1192,13.1036,28.4423,17.7992,30.8929,37.749,4.3645,15,9,6,2025-10-17
12,Boys,2,3,Lukas Kazmierczak / Noah Rajasekaran,Grand Rapids Forest Hills Central,1501.763,1501.763,1649,9,20.6998,19.3199,25.2401,12.4178,26.3285,31.071,4.6369,15,5,10,2025-10-17
13,Boys,2,3,Sam Tursman / Oliver Robinson,Traverse City Central,1499.3122,1499.3122,1649,10,15.6136,9.5119,28.8309,17.1263,29.4853,31.7951,4.1197,28,11,17,2025-10-17
14,Boys,2,3,Sohan Patil / Drew Abbomonte,South Lyon East,1497.2781,1497.2781,1649,4,13.0171,7.7179,30.3703,20.7886,33.7644,35.7775,4.3253,16,12,4,2025-10-17
15,Boys,2,3,Jake Ingber / Ari Schindler,Berkley,1497.0977,1497.0977,1649,7,17.1916,13.5009,25.2415,12.7194,26.1654,30.6868,4.482,15,6,9,2025-10-17
16,Boys,2,3,Matthew Hillock / Jacob Chiles,Riverview Gabriel Richard,1495.837,1495.837,1649,6,14.2015,13.7928,24.4403,14.2521,27.2259,32.0131,4.3246,13,5,8,2025-10-08
17,Boys,2,3,Ethan Dekraker / Bronson Schroeder,Greenville,1494.5274,1494.5274,1649,5,8.7084,7.4436,26.5952,19.4902,32.793,40.8091,4.4343,15,12,3,2025-10-08
18,Boys,2,3,Ian Ruhrup / Toby Caldwell,Mattawan,1494.0163,1494.0163,1649,4,17.8872,18.4345,21.6354,7.3047,20.8953,27.4273,4.5302,13,3,10,2025-10-17
19,Boys,2,3,Samarth Kaukuntla / Avadh Patel,Farmington,1492.336,1492.336,1649,0,8.5847,1.9957,29.8875,22.3415,36.031,39.0017,4.5632,11,9,2,2025-10-08
20,Boys,2,3,Tyler Nusser / Lucas Moul,Southgate Anderson,1492.0813,1492.0813,1649,5,9.2005,9.1454,24.1734,14.252,28.3651,32.5053,4.7043,10,7,3,2025-10-08
21,Boys,2,3,Jakoby Schwab / Lucca Giorgi,Gibraltar Carlson,1491.1405,1491.1405,1649,4,11.5309,12.6779,23.5175,10.4184,23.0724,28.1091,4.218,16,7,9,2025-10-08
22,Boys,2,3,Jack Ryan / Jackson Zapp,Temperance Bedford,1490.5899,1490.5899,1649,5,10.4938,6.9906,22.6657,12.5346,27.2293,32.23,4.8982,6,4,2,2025-09-20
23,Boys,2,3,Brystol Perry / Cooper Thibo,Holly,1490.2815,1490.2815,1649,3,12.323,5.9789,23.9156,14.007,26.6795,34.7186,4.2242,15,8,7,2025-10-08
24,Boys,2,3,Miles O'Brien / Caleb McCumber,Muskegon Mona Shores,1489.6505,1489.6505,1649,3,11.3948,12.3251,22.3001,8.8962,22.0664,29.6951,4.3901,16,6,10,2025-10-08
25,Boys,2,3,Jackson Clemence / Sneh Patel,Portage Northern,1488.9843,1488.9843,1649,1,8.6638,4.1409,25.7233,16.3011,29.4104,33.1776,4.3698,14,10,4,2025-10-08
26,Boys,2,3,Hassir Ahmed / Ankith Madireddi,Ypsilanti,1488.5031,1488.5031,1649,2,13.2787,8.1783,20.3628,11.3143,25.0579,28.4803,4.5812,12,5,7,2025-10-30
27,Boys,2,3,Evan Wood / Luke Warwick,Sparta,1488.3295,1488.3295,1649,4,9.4027,6.3469,20.5129,12.4347,25.8874,36.9883,4.4842,21,10,11,2025-10-08
28,Boys,2,3,Nick Hammel / Braylen Judge,Lake Fenton/Linden,1487.5599,1487.5599,1649,2,9.434,6.2357,23.3747,11.1318,24.4254,32.1017,4.4312,15,8,7,2025-10-08
